radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,636,1,20026,26089,0,37.547836303711,6.0170745849609,1000,1,1,1432631670,1432631670,0
GSM,636,1,20031,26105,0,37.818374633789,6.9028472900391,1000,1,1,1433244730,1433244730,0
GSM,636,1,20045,11605,0,39.040603637695,8.4189605712891,1000,1,1,1438252645,1438252645,0
GSM,636,1,20045,11154,0,39.018630981445,8.3983612060547,1000,1,1,1438252645,1438252645,0
GSM,636,1,20037,15471,0,34.602127075195,8.2431793212891,1000,1,1,1433379126,1433379126,0
GSM,636,1,20039,26554,0,39.581680297852,5.3318023681641,1000,1,1,1436755164,1436755164,0
GSM,636,1,20045,21188,0,39.040603637695,8.4189605712891,1000,1,1,1438252645,1438252645,0
GSM,636,1,20037,25501,0,34.596633911133,8.2486724853516,1000,1,1,1437099506,1437099506,0
GSM,636,1,20031,26109,0,37.76481628418,6.8643951416016,1000,1,1,1436430695,1436430695,0
GSM,636,1,20037,35372,0,34.250564575195,8.2843780517578,1000,1,1,1427887808,1427887808,0
GSM,636,1,20038,15050,0,34.559555053711,10.09162902832,1000,1,1,1432106929,1432106929,0
GSM,636,1,20039,36053,0,39.561080932617,5.3318023681641,1000,1,1,1435032287,1435032287,0
GSM,636,1,20039,16554,0,39.581680297852,5.3331756591797,1000,1,1,1436755164,1436755164,0
GSM,636,1,20031,26107,0,37.760696411133,6.8616485595703,1000,1,1,1440158125,1440158125,0
GSM,636,1,20058,11608,0,38.647842407227,7.7336883544922,1000,1,1,1438852980,1438852980,0
GSM,636,1,20046,26261,0,38.141098022461,7.4535369873047,1000,1,1,1438464375,1438464375,0
GSM,636,1,20059,15123,0,36.850204467773,7.6828765869141,1000,1,1,1424949255,1424949255,0
GSM,636,1,20058,11143,0,38.65608215332,7.2599029541016,1000,1,1,1433582433,1433582433,0
GSM,636,1,20046,16074,0,37.854080200195,7.5551605224609,1000,1,1,1433376834,1433376834,0
GSM,636,1,20049,36059,0,38.102645874023,4.8896026611328,1000,1,1,1437388298,1437388298,0
GSM,636,1,20046,16168,0,37.855453491211,7.5551605224609,1000,1,1,1432864848,1432864848,0
GSM,636,1,20058,16438,0,38.017501831055,7.2132110595703,1000,1,1,1438464375,1438464375,0
GSM,636,1,20047,21440,0,38.706893920898,8.5205841064453,1000,1,1,1435132439,1435132439,0
GSM,636,1,20047,21341,0,38.186416625977,7.8366851806641,1000,1,1,1429611715,1429611715,0
GSM,636,1,20049,26060,0,38.102645874023,4.8896026611328,1000,1,1,1437388298,1437388298,0
GSM,636,1,20049,36070,0,38.20426940918,6.1571502685547,1000,1,1,1438342222,1438342222,0
GSM,636,1,20058,21142,0,38.647842407227,7.2420501708984,1000,1,1,1433582489,1433582489,0
GSM,636,1,20049,36163,0,38.213882446289,5.6380462646484,1000,1,1,1439792528,1439792528,0
GSM,636,1,20058,16347,0,38.017501831055,7.2132110595703,1000,1,1,1438464375,1438464375,0
GSM,636,1,20049,16167,0,38.202896118164,6.1571502685547,1000,1,1,1438342222,1438342222,0
GSM,636,1,20047,21499,0,38.639602661133,7.2379302978516,1000,1,1,1433582433,1433582433,0
GSM,636,1,20058,26347,0,38.017501831055,7.2132110595703,1000,1,1,1438464375,1438464375,0
GSM,636,1,20047,11440,0,38.638229370117,8.5659027099609,1000,1,1,1433244851,1433244851,0
GSM,636,1,20045,31337,0,39.032363891602,8.4217071533203,1000,1,1,1438252640,1438252640,0
GSM,636,1,20049,36071,0,38.202896118164,6.1241912841797,1000,1,1,1438342222,1438342222,0
GSM,636,1,20047,21663,0,38.960952758789,8.7526702880859,1000,1,1,1432868213,1432868213,0
GSM,636,1,20058,31549,0,38.359451293945,7.2969818115234,1000,1,1,1432819807,1432819807,0
GSM,636,1,20063,15362,0,36.852951049805,7.6760101318359,1000,1,1,1424949304,1424949304,0
GSM,636,1,20069,31011,0,39.291915893555,8.5631561279297,1000,1,1,1429176506,1429176506,0
GSM,636,1,20065,16043,0,40.003280639648,7.1198272705078,1000,1,1,1434364645,1434364645,0
GSM,636,1,20065,36036,0,39.981307983398,7.0291900634766,1000,1,1,1432436977,1432436977,0
GSM,636,1,20065,26498,0,38.470687866211,7.0168304443359,1000,1,1,1430378606,1430378606,0
GSM,636,1,20066,11618,0,39.537734985352,8.7128448486328,1000,1,1,1429516867,1429516867,0
GSM,636,1,20065,16533,0,38.469314575195,7.0168304443359,1000,1,1,1430378577,1430378577,0
GSM,636,1,20065,36011,0,38.494033813477,7.0168304443359,1000,1,1,1434003257,1434003257,0
GSM,636,1,20066,31268,0,39.915390014648,8.9037322998047,1000,1,1,1441719666,1441719666,0
GSM,636,1,20075,16878,0,37.367935180664,5.3400421142578,1000,1,1,1433990395,1433990395,0
GSM,636,1,20075,16100,0,37.313003540039,5.9195709228516,1000,1,1,1427857150,1427857150,0
GSM,636,1,20065,26011,0,38.495407104492,7.0154571533203,1000,1,1,1430887794,1430887794,0
GSM,636,1,20075,36880,0,37.428359985352,5.3441619873047,1000,1,1,1441861418,1441861418,0
GSM,636,1,20063,15253,0,36.852951049805,7.6746368408203,1000,1,1,1424949256,1424949256,0
GSM,636,1,20076,16058,0,39.050216674805,3.5424041748047,1000,1,1,1430725818,1430725818,0
GSM,636,1,21101,12263,0,38.922500610352,8.2747650146484,1000,1,1,1446122504,1446122504,0
GSM,636,1,21101,11036,0,39.047470092773,8.7128448486328,1000,1,1,1441719743,1441719743,0
GSM,636,1,21101,12042,0,38.965622,8.749649,1000,5,1,1458921005,1471597623,0
GSM,636,1,21101,12005,0,39.020004272461,8.7444305419922,1000,1,1,1447465955,1447465955,0
GSM,636,1,21101,12211,0,39.011307,8.767776,1000,3,1,1458921005,1488024157,0
GSM,636,1,21101,12151,0,39.012795,8.754387,1127,4,1,1458921005,1488024157,0
GSM,636,1,21102,10162,0,39.322128295898,8.3393096923828,1000,1,1,1449451414,1449451414,0
GSM,636,1,21101,12222,0,39.013137817383,8.7609100341797,1000,2,1,1458921005,1465964146,0
GSM,636,1,20077,31448,0,37.803268432617,8.2157135009766,1000,1,1,1432215717,1432215717,0
GSM,636,1,21101,12225,0,39.013137817383,8.7622833251953,1000,2,1,1458921005,1465964146,0
GSM,636,1,21101,11922,0,39.020004272461,8.7444305419922,1000,1,1,1447465955,1447465955,0
GSM,636,1,21101,12155,0,38.989288,8.76109,28010,8,1,1458921005,1488024157,0
GSM,636,1,21101,12276,0,38.922500610352,8.2747650146484,1000,1,1,1446122504,1446122504,0
GSM,636,1,21101,12032,0,39.022751,8.740768,1000,3,1,1458921005,1461727386,0
GSM,636,1,21105,10181,0,39.22737121582,8.5329437255859,1000,1,1,1453159915,1453159915,0
GSM,636,1,21105,11571,0,39.133987426758,7.9561614990234,1000,1,1,1443493464,1443493464,0
GSM,636,1,21105,10161,0,39.22737121582,8.5329437255859,1000,1,1,1453159915,1453159915,0
GSM,636,1,21102,10696,0,39.269943237305,8.5453033447266,1000,1,1,1453159915,1453159915,0
GSM,636,1,21103,10511,0,39.276809692383,8.5068511962891,1000,1,1,1433485795,1433485795,0
GSM,636,1,21103,10745,0,39.276809692383,8.5439300537109,1000,1,1,1432785962,1432785962,0
GSM,636,1,21103,10192,0,39.301528930664,8.5604095458984,1000,1,1,1434496797,1434496797,0
GSM,636,1,21105,11534,0,39.131240844727,7.9410552978516,1000,1,1,1442886187,1442886187,0
GSM,636,1,21102,10842,0,39.283676147461,8.5645294189453,1000,1,1,1441504063,1441504063,0
GSM,636,1,21103,10431,0,39.28092956543,8.5604095458984,1000,1,1,1433255170,1433255170,0
GSM,636,1,21103,13331,0,39.999160766602,7.1431732177734,1000,1,1,1443752832,1443752832,0
GSM,636,1,21103,10751,0,39.267196655273,8.5686492919922,1000,1,1,1432710585,1432710585,0
GSM,636,1,21102,10503,0,39.252090454102,8.5356903076172,1000,1,1,1453603759,1453603759,0
GSM,636,1,21103,10744,0,39.290542602539,8.5686492919922,1000,1,1,1437804794,1437804794,0
GSM,636,1,21102,10501,0,39.293289,8.53775,1000,2,1,1458921005,1487044135,0
GSM,636,1,21103,10471,0,39.264450073242,8.5411834716797,1000,1,1,1432913252,1432913252,0
GSM,636,1,21102,10646,0,39.254837036133,8.5411834716797,1000,1,1,1441504063,1441504063,0
GSM,636,1,21103,10753,0,39.256210327148,8.5384368896484,1000,1,1,1433730084,1433730084,0
GSM,636,1,21103,10761,0,39.298782348633,8.5645294189453,1000,1,1,1434496816,1434496816,0
GSM,636,1,21105,10074,0,39.22737121582,8.5329437255859,1000,1,1,1453159915,1453159915,0
GSM,636,1,21102,10756,0,39.264450073242,8.5411834716797,1000,1,1,1453159915,1453159915,0
GSM,636,1,21102,10685,0,39.29328918457,8.5370635986328,1000,1,1,1441504063,1441504063,0
GSM,636,1,21103,10556,0,39.278182983398,8.5425567626953,1000,1,1,1439450173,1439450173,0
GSM,636,1,21103,10693,0,39.263076782227,8.5411834716797,1000,1,1,1433730084,1433730084,0
GSM,636,1,21102,10556,0,39.268569946289,8.5411834716797,1000,1,1,1453159915,1453159915,0
GSM,636,1,21106,17003,0,38.718567,7.938309,1000,2,1,1458921006,1478000031,0
GSM,636,1,21107,11083,0,39.885177612305,7.3189544677734,1000,1,1,1448896248,1448896248,0
GSM,636,1,21107,12756,0,39.790420532227,7.0964813232422,1000,1,1,1449451414,1449451414,0
GSM,636,1,21105,12391,0,39.54460144043,8.7059783935547,1000,1,1,1447465955,1447465955,0
GSM,636,1,21106,13016,0,38.806457,8.136749,1000,2,1,1456011439,1456011439,0
GSM,636,1,21105,12964,0,39.330368041992,8.3736419677734,1000,1,1,1449451414,1449451414,0
GSM,636,1,21106,16984,0,38.720169,7.959824,2502,3,1,1458921006,1483534818,0
GSM,636,1,21105,16615,0,39.286422729492,8.2610321044922,1000,1,1,1441705000,1441705000,0
GSM,636,1,21105,11676,0,39.132614135742,7.9671478271484,1000,1,1,1443493465,1443493465,0
GSM,636,1,21107,12754,0,39.789047241211,7.0964813232422,1000,1,1,1449451414,1449451414,0
GSM,636,1,21106,16954,0,38.715134,7.92778,1000,3,1,1458921006,1476076611,0
GSM,636,1,21105,16972,0,38.713760375977,7.9232025146484,1000,1,1,1441964281,1441964281,0
GSM,636,1,21105,12382,0,39.625625610352,8.7664031982422,1000,1,1,1447465955,1447465955,0
GSM,636,1,21106,16994,0,38.717880249023,7.9383087158203,1000,1,1,1443517395,1443517395,0
GSM,636,1,21107,11113,0,39.885177612305,7.3189544677734,1000,1,1,1448896248,1448896248,0
GSM,636,1,21106,16986,0,38.71994,7.906036,1981,2,1,1458921006,1483534772,0
GSM,636,1,21105,12392,0,39.54460144043,8.7059783935547,1000,1,1,1447465955,1447465955,0
GSM,636,1,21106,16985,0,38.724747,7.91153,1675,2,1,1458921006,1483534813,0
GSM,636,1,20026,16485,0,37.55744934082,6.0349273681641,1000,1,1,1432374129,1432374129,0
GSM,636,1,20031,16255,0,38.017501831055,7.2132110595703,1000,1,1,1438464375,1438464375,0
GSM,636,1,20024,26016,0,38.477554321289,7.0635223388672,1000,1,1,1431895965,1431895965,0
